,latitude,longitude,monthly_charges,churn,gender_female,gender_male,senior_citizen_no,senior_citizen_yes,partner_no,partner_yes,dependents_no,dependents_yes,phone_service_no,phone_service_yes,multiple_lines_no,multiple_lines_yes,internet_service_dsl,internet_service_fiber_optic,internet_service_no,online_security_no,online_security_yes,online_backup_no,online_backup_yes,device_protection_no,device_protection_yes,tech_support_no,tech_support_yes,streaming_tv_no,streaming_tv_yes,streaming_movies_no,streaming_movies_yes,contract_month-to-month,contract_one_year,contract_two_year,paperless_billing_no,paperless_billing_yes,payment_method_bank_transfer_(automatic),payment_method_credit_card_(automatic),payment_method_electronic_check,payment_method_mailed_check
0,-0.49815761611454457,-0.37194580996751125,1.295085556715886,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
1,-1.4231992742503534,1.3581432147662513,-1.51623180245719,0,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
2,0.4449071703695157,-1.0264760377440354,0.9653220276185701,0,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False
3,1.2024589158149104,-0.11767435239898624,-1.5145663300880117,0,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
4,-0.8994646360991174,0.6600118510330333,0.6538786945822165,0,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False
5,0.6248102503910382,-1.187954243544839,1.1335347369055853,0,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False
6,0.5063649968959616,-0.48735125339126434,0.4473601208040994,0,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False
7,-0.21807642838930827,1.116667255291582,0.5706050761232984,1,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False
8,-1.0158638033336993,0.8403703052678138,0.8187604591308745,1,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False
9,1.0793765175092302,-0.4555229373313152,-1.4995770787654064,0,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
10,-0.8942337155102715,0.7367834526004244,-1.346353620800997,0,False,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
11,-1.0889909506854971,0.9967822779383715,-0.3487356716631579,0,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False
12,-0.294841469122166,0.4045665327310105,-1.4762604655969094,1,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
13,-1.478256929939707,1.653549267522178,-0.5019591296275673,0,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False
